"file_name","day","year","instrument","plot","Vcmax_at_25","J_at_25","Jmax_at_25","RL_at_25","TPU_at_25"
"read_gasex_file","NA","NA","UserDefCon","UserDefCon","fit_c3_aci","fit_c3_aci","NA","fit_c3_aci","NA"
"NA","NA","NA","NA","NA","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)"
"../aci_curves_2021/2021-08-04 ed ripe1.xlsx","20210805","2021","ripe1","5","138.981065980048","194.285072691165","194.071470601052","1.28","11.430606436823"
"../aci_curves_2021/2021-08-04 ed ripe2.xlsx","20210805","2021","ripe2","1","126.474815046589","188.454806304148","188.25380401833","1.28","10.9608841876294"
"../aci_curves_2021/2021-08-04 ed ripe2.xlsx","20210805","2021","ripe2","5","118.711717421858","188.084592809347","187.884377718571","1.28","10.2584897936631"
"../aci_curves_2021/2021-08-04 ed ripe3.xlsx","20210805","2021","ripe3","4","94.5357753011788","150.097990137947","149.970366594659","1.28",NA
"../aci_curves_2021/2021-08-04 ed ripe4.xlsx","20210805","2021","ripe4","4","121.80994443431","191.633062159444","191.425238605213","1.28","10.6309136893374"
"../aci_curves_2022/2022-08-05 ripe15 aci.xlsx","20220805","2022","ripe15","1","122.767507025119","181.069394223846","180.883805072647","1.28","10.2642154175212"
"../aci_curves_2022/2022-08-05 ripe15 aci.xlsx","20220805","2022","ripe15","4","133.177937404","172.655820060269","172.487043765658","1.28","10.3117977316774"
"../aci_curves_2022/2022-08-05 ripe2 aci.xlsx","20220805","2022","ripe2","1","104.803523468447","176.837105335734","176.660072918168","1.28","10.282126335488"
"../aci_curves_2022/2022-08-05 ripe2 aci.xlsx","20220805","2022","ripe2","4","100.286506631775","153.373225493515","153.239981865973","1.28","8.51691714130368"
"../aci_curves_2022/2022-08-05 ripe2 aci.xlsx","20220805","2022","ripe2","5","136.098645362764","215.897723978259","215.634090433711","1.28","12.0627516601465"
